Id,SalePrice
1461,125133.0
1462,146863.5
1463,177922.94
1464,177119.0
1465,197144.56
1466,185415.0
1467,162970.0
1468,174084.42
1469,182784.38
1470,116936.26
1471,190719.44
1472,93078.0
1473,90050.0
1474,148895.0
1475,140775.98666666666
1476,417655.59
1477,250406.89
1478,322733.79
1479,306601.32
1480,453444.83
1481,320745.54
1482,216829.06
1483,171671.76
1484,162753.21
1485,172232.79666666663
1486,208199.09
1487,344874.28
1488,261363.0
1489,201065.46
1490,191207.52
1491,191082.65
1492,107894.1
1493,185315.0
1494,279238.88
1495,284426.48
1496,217695.82
1497,162236.0
1498,151044.81666666668
1499,148468.86666666664
1500,148597.73
1501,172984.83
1502,144717.15999999997
1503,302189.47
1504,222311.65
1505,216753.81
1506,161811.05
1507,217198.24
1508,191388.4
1509,158280.0
1510,138533.09
1511,147336.37
1512,139838.01
1513,158522.0
1514,134779.97
1515,172455.0
1516,156647.0
1517,150914.5
1518,131931.74
1519,213682.68
1520,139885.0
1521,143173.5
1522,159199.0
1523,116729.72
1524,125956.87
1525,124189.0
1526,130011.5
1527,96945.14
1528,122734.25
1529,136309.0
1530,154513.01
1531,136030.95
1532,104051.8
1533,129009.46
1534,122230.0
1535,142286.87
1536,109491.47
1537,70460.0
1538,183871.5
1539,231633.35
1540,131150.27
1541,139483.75
1542,131302.05
1543,206288.79
1544,75904.5
1545,90480.0
1546,127992.0
1547,129925.0
1548,133978.86
1549,88679.93
1550,141076.88
1551,110651.61
1552,142873.54
1553,157099.61
1554,115164.51
1555,161573.7
1556,113477.5
1557,116216.96
1558,93672.0
1559,124051.74
1560,145449.71
1561,133722.05
1562,115542.08
1563,120546.59
1564,153641.23
1565,147682.9
1566,227515.0
1567,84727.0
1568,206584.0
1569,158283.52
1570,133030.68
1571,139128.89
1572,128612.0
1573,243037.06
1574,146463.09
1575,195678.5
1576,196700.5
1577,201566.29
1578,140373.6
1579,136606.5
1580,189584.0
1581,145999.5
1582,121202.0
1583,326308.26
1584,247081.05
1585,141197.3333333333
1586,68046.31
1587,125174.5
1588,147762.87
1589,108063.2
1590,135150.87
1591,113195.8
1592,122324.31
1593,117503.49
1594,176793.89
1595,158366.68
1596,225960.29
1597,161080.32
1598,193368.65
1599,175799.0
1600,186766.4
1601,52791.19
1602,106553.26
1603,97789.1
